rtt;x;y
71980;8.48;6.1
49030;-6.85;2.75
82204;7.34;9.59
58745;-8.32;-2.04
28432;1.47;3.98
65908;-4.36;8.83
51441;-4.88;-6.01
10883;1.28;0.59
59864;-5.61;6.85
62224;2.97;-8.93
